
classes:   0%|          | 0/3423 [00:00<?, ?it/s]
classes:  28%|##8       | 972/3423 [09:17<1:13:56,  1.81s/it]
classes:  28%|##8       | 973/3423 [09:18<1:14:31,  1.83s/it]
classes:  28%|##8       | 974/3423 [09:21<1:17:37,  1.90s/it]
classes:  28%|##8       | 975/3423 [09:23<1:18:43,  1.93s/it]
classes:  29%|##8       | 976/3423 [09:25<1:20:04,  1.96s/it]
classes:  29%|##8       | 977/3423 [09:27<1:22:50,  2.03s/it]
classes:  29%|##8       | 978/3423 [09:27<1:01:59,  1.52s/it]
classes:  29%|##8       | 979/3423 [09:29<1:06:57,  1.64s/it]
classes:  29%|##8       | 980/3423 [09:31<1:13:30,  1.81s/it]
classes:  29%|##8       | 981/3423 [09:34<1:21:58,  2.01s/it]
classes:  29%|##8       | 982/3423 [09:36<1:26:27,  2.13s/it]
classes:  29%|##8       | 983/3423 [09:38<1:28:42,  2.18s/it]
classes:  29%|##8       | 984/3423 [09:41<1:28:24,  2.18s/it]
classes:  29%|##8       | 985/3423 [09:42<1:24:37,  2.08s/it]
classes:  29%|##8       | 986/3423 [09:45<1:30:08,  2.22s/it]
classes:  29%|##8       | 987/3423 [09:59<3:51:47,  5.71s/it]
classes:  29%|##8       | 988/3423 [10:01<3:03:31,  4.52s/it]
classes:  29%|##8       | 989/3423 [10:02<2:30:06,  3.70s/it]
classes:  29%|##8       | 990/3423 [10:05<2:18:23,  3.41s/it]
classes:  29%|##8       | 991/3423 [10:07<2:00:32,  2.97s/it]
classes:  29%|##8       | 992/3423 [10:09<1:45:55,  2.61s/it]
classes:  29%|##9       | 993/3423 [10:11<1:39:11,  2.45s/it]
classes:  29%|##9       | 994/3423 [10:13<1:36:34,  2.39s/it]
classes:  29%|##9       | 995/3423 [10:16<1:40:13,  2.48s/it]
classes:  29%|##9       | 996/3423 [10:18<1:35:01,  2.35s/it]
classes:  29%|##9       | 997/3423 [10:20<1:29:08,  2.20s/it]
classes:  29%|##9       | 998/3423 [10:22<1:26:35,  2.14s/it]
classes:  29%|##9       | 999/3423 [10:24<1:24:21,  2.09s/it]
classes:  29%|##9       | 1000/3423 [10:25<1:17:24,  1.92s/it]
classes:  29%|##9       | 1001/3423 [10:27<1:13:41,  1.83s/it]
classes:  29%|##9       | 1002/3423 [10:28<1:10:36,  1.75s/it]
classes:  29%|##9       | 1003/3423 [10:30<1:08:50,  1.71s/it]
classes:  29%|##9       | 1004/3423 [10:32<1:12:13,  1.79s/it]
classes:  29%|##9       | 1005/3423 [10:34<1:14:45,  1.86s/it]
classes:  29%|##9       | 1006/3423 [10:36<1:15:01,  1.86s/it]
classes:  29%|##9       | 1007/3423 [10:37<1:09:45,  1.73s/it]
classes:  29%|##9       | 1008/3423 [10:39<1:11:59,  1.79s/it]
classes:  29%|##9       | 1009/3423 [10:41<1:13:12,  1.82s/it]
classes:  30%|##9       | 1010/3423 [10:43<1:13:02,  1.82s/it]
classes:  30%|##9       | 1011/3423 [10:45<1:10:28,  1.75s/it]
classes:  30%|##9       | 1012/3423 [10:47<1:17:20,  1.92s/it]
classes:  30%|##9       | 1013/3423 [10:49<1:19:22,  1.98s/it]
classes:  30%|##9       | 1014/3423 [10:51<1:19:52,  1.99s/it]
classes:  30%|##9       | 1015/3423 [10:53<1:21:11,  2.02s/it]
classes:  30%|##9       | 1016/3423 [10:55<1:20:34,  2.01s/it]
classes:  30%|##9       | 1017/3423 [10:57<1:22:15,  2.05s/it]
classes:  30%|##9       | 1018/3423 [10:59<1:17:14,  1.93s/it]
classes:  30%|##9       | 1019/3423 [11:01<1:17:31,  1.93s/it]
classes:  30%|##9       | 1020/3423 [11:03<1:16:30,  1.91s/it]
classes:  30%|##9       | 1021/3423 [11:05<1:15:31,  1.89s/it]
classes:  30%|##9       | 1022/3423 [11:06<1:15:30,  1.89s/it]
classes:  30%|##9       | 1023/3423 [11:08<1:17:15,  1.93s/it]
classes:  30%|##9       | 1024/3423 [11:13<1:50:22,  2.76s/it]
classes:  30%|##9       | 1025/3423 [11:16<1:49:41,  2.74s/it]
classes:  30%|##9       | 1026/3423 [11:17<1:36:12,  2.41s/it]
classes:  30%|###       | 1027/3423 [11:19<1:27:17,  2.19s/it]
classes:  30%|###       | 1028/3423 [11:21<1:23:38,  2.10s/it]
classes:  30%|###       | 1029/3423 [11:23<1:20:59,  2.03s/it]
classes:  30%|###       | 1030/3423 [11:25<1:20:29,  2.02s/it]
classes:  30%|###       | 1031/3423 [11:27<1:20:28,  2.02s/it]
classes:  30%|###       | 1032/3423 [11:29<1:21:12,  2.04s/it]
classes:  30%|###       | 1033/3423 [11:31<1:20:40,  2.03s/it]
classes:  30%|###       | 1034/3423 [11:33<1:18:42,  1.98s/it]
classes:  30%|###       | 1035/3423 [11:35<1:15:53,  1.91s/it]
classes:  30%|###       | 1036/3423 [11:37<1:20:37,  2.03s/it]
classes:  30%|###       | 1037/3423 [11:38<1:14:54,  1.88s/it]
classes:  30%|###       | 1038/3423 [11:41<1:17:40,  1.95s/it]
classes:  30%|###       | 1039/3423 [11:42<1:13:58,  1.86s/it]
classes:  30%|###       | 1040/3423 [11:44<1:14:12,  1.87s/it]
classes:  30%|###       | 1041/3423 [11:46<1:12:38,  1.83s/it]
